danceability,energy,key,loudness,mode_,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,time_signature,playlist
0.319,0.236,5,-9.644,1,0.0318,0.898,1.62e-05,0.272,162.351,156091,4,0
0.806,0.398,2,-8.211,1,0.354,0.745,0.0,0.0906,95.146,141932,4,0
0.637,0.519,6,-9.461,1,0.0283,0.343,5.74e-05,0.273,145.024,268147,4,0
0.797,0.755,2,-5.393,1,0.0293,0.331,2.26e-06,0.124,129.955,135878,4,0
0.619,0.481,10,-7.85,0,0.0366,0.0131,0.0001,0.101,133.977,238067,4,0
0.621,0.352,4,-11.149,0,0.0314,0.0213,0.00435,0.11,124.995,267180,4,0
0.529,0.536,8,-11.269,1,0.0627,0.826,0.00082,0.141,107.873,275320,4,0
0.409,0.594,1,-9.725,1,0.031,0.032,0.0391,0.0904,110.187,209455,4,0
0.74,0.798,0,-6.55,1,0.146,0.189,0.00128,0.305,119.964,261360,4,0
0.642,0.549,11,-8.303,0,0.0996,0.522,0.000116,0.0764,99.906,185853,4,0
0.586,0.514,1,-11.31,0,0.0317,0.521,0.946,0.141,112.244,167253,4,0
0.789,0.437,5,-10.471,0,0.0338,0.035,0.00336,0.12,120.013,199733,4,0
0.449,0.875,8,-6.172,1,0.041,0.118,0.469,0.29,140.078,190218,4,0
0.756,0.498,6,-8.808,0,0.0866,0.524,0.0342,0.101,96.104,147653,4,0
0.356,0.172,0,-18.2,1,0.0439,0.958,0.758,0.101,122.347,139219,4,0
0.604,0.573,2,-7.804,1,0.037,0.289,0.0406,0.133,107.862,206947,4,0
0.378,0.478,7,-7.85,1,0.036,0.772,0.00472,0.304,101.485,320981,4,0
0.59,0.852,2,-5.992,1,0.0392,0.00657,0.00209,0.238,120.047,197493,4,0
0.653,0.787,6,-7.174,0,0.0294,0.00427,0.158,0.0699,125.007,232960,4,0
0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,75.602,285634,4,0
0.577,0.62,9,-6.917,1,0.102,0.0306,0.0,0.105,159.657,159000,4,0
0.65,0.629,9,-9.277,1,0.216,0.884,0.0,0.138,141.047,191533,4,0
0.553,0.354,4,-15.02,1,0.0489,0.976,0.674,0.305,87.814,148706,4,0
0.698,0.566,4,-10.487,1,0.0285,0.0976,0.178,0.323,117.567,222240,4,0
0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,85.012,260173,4,0
0.676,0.641,9,-7.923,1,0.0296,0.267,0.262,0.119,84.97,241413,4,0
0.674,0.686,2,-6.08,1,0.0237,0.227,0.0,0.39,100.502,279480,4,0
0.575,0.161,5,-25.321,0,0.0509,0.923,0.232,0.112,69.007,208744,4,0
0.68,0.487,1,-9.031,1,0.0692,0.409,0.0172,0.109,82.019,299028,4,0
0.822,0.175,9,-8.969,0,0.0932,0.273,7.04e-05,0.076,88.918,194187,4,0
0.655,0.372,7,-12.582,1,0.0919,0.264,2.18e-05,0.182,146.532,114440,4,0
0.535,0.404,2,-6.156,1,0.0428,0.0379,0.000153,0.148,101.983,173567,4,0
0.682,0.21,7,-15.065,1,0.156,0.661,7.22e-05,0.149,77.999,261667,4,0
0.741,0.5,0,-9.525,1,0.136,0.331,0.0,0.277,96.273,285597,4,0
0.695,0.237,10,-11.741,1,0.033,0.932,1.35e-06,0.116,107.795,229619,3,0
0.947,0.445,1,-8.043,1,0.0445,0.451,0.819,0.131,120.962,193635,4,0
0.831,0.222,6,-12.583,0,0.0472,0.16,0.00764,0.0862,61.984,260481,4,0
0.778,0.465,8,-8.637,1,0.0328,0.803,0.169,0.105,121.962,258267,4,0
0.59,0.187,4,-15.924,1,0.0466,0.976,0.827,0.0944,92.962,159090,4,0
0.775,0.327,9,-13.635,0,0.032,0.743,0.287,0.091,95.036,198960,4,0
0.543,0.498,9,-10.152,1,0.0678,0.692,0.433,0.078,113.394,241097,4,0
0.564,0.596,3,-5.909,1,0.0273,0.798,0.787,0.118,135.014,131437,4,0
0.612,0.584,8,-12.687,1,0.204,0.354,0.917,0.111,93.741,225973,4,0
0.45,0.477,6,-11.804,0,0.0309,0.00378,0.915,0.0861,120.047,241000,4,0
0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,210.164,213573,4,0
0.565,0.395,1,-14.18,1,0.205,0.449,0.00306,0.13,109.959,174801,4,0
0.482,0.635,5,-8.677,0,0.0785,0.00986,0.00641,0.421,146.979,213169,4,0
0.822,0.314,0,-12.415,1,0.0421,0.534,0.0192,0.165,117.984,312301,4,0
0.418,0.449,6,-9.113,1,0.059,0.483,0.000349,0.306,127.169,293499,4,0
0.716,0.697,7,-8.409,1,0.0259,0.00846,0.144,0.229,111.999,246464,4,0
0.325,0.321,8,-16.623,1,0.0301,0.889,0.202,0.115,182.077,329361,3,0
0.559,0.871,5,-5.338,0,0.0392,7.53e-06,0.00524,0.096,104.976,213920,4,0
0.665,0.35,2,-9.426,1,0.028,0.508,0.83,0.109,87.061,126120,4,0
0.578,0.446,3,-8.685,0,0.0381,0.847,0.0,0.106,168.017,220804,4,0
0.578,0.166,4,-17.194,1,0.0335,0.942,0.0069,0.103,99.891,214173,4,0
0.561,0.803,8,-6.349,0,0.029,0.209,0.324,0.17,140.915,213864,4,0
0.851,0.663,7,-7.168,1,0.0532,0.0167,0.363,0.103,108.004,234372,4,0
0.541,0.491,5,-8.747,0,0.0263,0.477,0.000816,0.102,76.99,202922,4,0
0.646,0.595,10,-6.709,0,0.0512,0.00457,5.79e-06,0.0527,73.973,238880,4,0
0.836,0.74,9,-4.77,0,0.057,0.0622,0.0034,0.121,101.986,177920,4,0
0.511,0.215,6,-10.877,1,0.0318,0.914,0.00233,0.055,145.523,204293,4,0
0.48,0.429,10,-8.848,0,0.0479,0.355,0.0552,0.114,174.27,437933,4,0
0.91,0.282,1,-8.989,1,0.111,0.098,0.000631,0.094,115.627,477008,4,0
0.603,0.617,8,-6.869,1,0.0455,0.0195,0.0067,0.0995,110.007,173474,4,0
0.681,0.452,11,-11.323,1,0.0847,0.81,1.13e-06,0.76,120.025,275500,4,0
0.654,0.47,1,-10.383,0,0.0586,0.274,0.249,0.103,77.083,202597,4,0
0.688,0.847,10,-3.238,0,0.0508,0.04,2.81e-06,0.598,93.979,212147,4,0
0.592,0.416,1,-9.794,1,0.0246,0.882,0.000586,0.112,96.002,210080,4,0
0.666,0.7,2,-10.143,1,0.0872,0.255,0.532,0.168,129.938,254360,4,0
0.646,0.374,2,-11.433,1,0.05,0.408,0.142,0.0907,139.923,187533,4,0
0.739,0.56,5,-7.774,1,0.0864,0.645,1.44e-05,0.118,119.953,186070,4,0
0.691,0.798,10,-5.61,1,0.0471,0.114,1.27e-05,0.11,123.93,296064,4,0
0.663,0.444,11,-11.214,0,0.0338,0.274,0.659,0.388,122.974,240493,4,0
0.631,0.811,5,-3.749,0,0.027,0.0596,0.00887,0.295,90.248,239093,4,0
0.498,0.721,10,-5.232,1,0.0282,0.136,0.7,0.0933,140.027,226440,4,0
0.621,0.421,10,-11.834,1,0.0286,0.677,0.351,0.0615,129.958,245133,4,0
0.814,0.851,0,-6.618,1,0.0735,0.0538,0.0815,0.119,104.043,130839,4,0
0.311,0.463,6,-10.838,1,0.0601,0.606,2.15e-05,0.263,159.401,214893,4,0
0.731,0.502,4,-10.285,0,0.0721,0.0163,0.0341,0.169,130.093,201446,4,0
0.478,0.684,1,-3.316,1,0.0402,0.338,0.34,0.35,162.562,263734,4,0
0.395,0.31,7,-20.734,1,0.0509,0.886,0.694,0.103,181.88,178773,3,0
0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,145.568,255067,3,0
0.677,0.545,6,-6.943,0,0.0316,0.0397,0.0878,0.497,120.017,345500,4,0
0.935,0.355,10,-10.332,0,0.0648,0.768,0.148,0.25,122.018,194267,4,0
0.684,0.477,1,-9.458,1,0.14,0.886,0.366,0.103,149.89,223900,3,0
0.746,0.531,11,-7.882,0,0.034,0.443,0.394,0.167,126.975,232569,4,0
0.552,0.394,0,-8.141,1,0.0367,0.116,0.0152,0.124,109.958,269632,4,0
0.434,0.563,11,-6.784,1,0.0268,0.0197,0.000824,0.128,104.183,235373,4,0
0.753,0.826,7,-8.206,1,0.0367,0.174,6.58e-06,0.99,135.0,283845,4,0
0.643,0.437,2,-9.407,0,0.138,0.701,1.15e-06,0.109,98.934,174545,4,0
0.717,0.484,5,-8.001,0,0.0264,0.209,0.000732,0.328,130.988,286000,4,0
0.809,0.541,3,-6.525,1,0.252,0.855,0.000977,0.142,92.132,94933,4,0
0.837,0.678,1,-7.696,1,0.0357,0.0894,0.137,0.107,130.014,115928,4,0
0.783,0.382,10,-10.352,1,0.0274,0.74,0.000192,0.461,125.022,235912,4,0
0.573,0.473,8,-10.839,0,0.0268,0.0944,0.397,0.199,77.494,227653,4,0
